name,npsn,level,status,accreditation,district,address,latitude,longitude
MI AL HIDAYAH,60712252,SD,SWASTA,B,Sukolilo,NGANDONG,-6.9848,110.8354
MI AL HIDAYAH PRAWOTO,60712243,SD,SWASTA,A,Sukolilo,Dukuh Sewunegaran RT 006 RW 005 Desa Prawoto,-6.9625,110.8291
MI AL MU`MIN,60712250,SD,SWASTA,A,Sukolilo,JL.Makam Sunan Prawoto Rt06Rw05,-6.9625,110.8291
MI DARUL ULUM,60712255,SD,SWASTA,B,Sukolilo,BATUREJO,-6.9197,110.9135
MI I`ANATUL ATHFAL,60712248,SD,SWASTA,A,Sukolilo,Dukuh Dermoyo RT 01 RW 01 Ds Cengkalsewu Kec. Sukolilo Kab. Pati,-6.9035,110.9606
MI MATHOLIBUL ULUM,60712253,SD,SWASTA,B,Sukolilo,Dukuh Jongso Rt 04 Rw 10,-6.8726,110.8885
MI MIFTAHUL FALAH,60712247,SD,SWASTA,A,Sukolilo,WOTAN,-6.9188351,110.9048581
MI MIFTAHUL HUDA,60712249,SD,SWASTA,A,Sukolilo,Dk. Papasan RT 003 RW 003,-6.9261,110.8893
MI RAUDLATUL ULUM,69994874,SD,SWASTA,A,Sukolilo,Jl. Sunan Prawoto Km. 07,0.0,0.0
MI RAUDLATUS SYUBBAN,60712242,SD,SWASTA,B,Sukolilo,Jln. K.H. Abdul Qodir No. 03 Kincir,-6.9618,110.8592
MI SABILUL HUDA,60712244,SD,SWASTA,B,Sukolilo,GALIRAN,-6.9165,110.8543
MI SULTAN AGUNG 01,60712254,SD,SWASTA,A,Sukolilo,JL. RAYA PATI PURWODADI,-6.9028,110.9145
MI SULTAN AGUNG 02,60712245,SD,SWASTA,A,Sukolilo,JLN.TALANGTUMENGGUNG NO.35,-6.9458,110.9203
MI SULTAN AGUNG 03,60712246,SD,SWASTA,B,Sukolilo,KEDUNGWINONG,-6.9315,110.9005
MI TARBIYATUL ISLAMIYAH,60712256,SD,SWASTA,B,Sukolilo,JL. GUA WARIH GG. NO. I PURI,-6.9127,110.9582
MI TARBIYATUL ISLAMIYAH,60712257,SD,SWASTA,B,Sukolilo,Jl. Cengkalsewu - Bareng Km. 4 Desa Kasiyan RT. 005 / RW. 001,-6.9063,110.9478
MTS MIFTAHUL FALAH,20364098,SD,SWASTA,B,Sukolilo,Wotan,-6.962378,110.936435
MTS MIFTAHUT THULLAB,20364096,SD,SWASTA,B,Sukolilo,JL. RAYA PATI-PURWODADI KM.20,-6.9091,110.9608
MTS SULTAN AGUNG,20364097,SD,SWASTA,A,Sukolilo,Komplek Pengajaran,-6.9376,110.9128
MTS SUNAN PRAWOTO,20364095,SD,SWASTA,A,Sukolilo,"JL H. HASYIM NOMOR 5 PRAWOTO, SUKOLILO, PATI 59172",-6.9601,110.827
SD ISLAM SUKOLILO,20339216,SD,SWASTA,B,Sukolilo,jl raya pati purwodadi km 28,-6.9099,110.9178
SD MUHAMMADIYAH KEDUNGWINONG,20348740,SD,SWASTA,B,Sukolilo,DUK KRASAK,-6.8995,110.9094
SD NEGERI BALEADI 01,20317041,SD,NEGERI,B,Sukolilo,Baleadi,-6.9326,110.8864
SD NEGERI BANTENGURIP,20317033,SD,NEGERI,B,Sukolilo,Dk. Bantengurip,-6.9537,110.8901
SD NEGERI BATUREJO 01,20317066,SD,NEGERI,A,Sukolilo,Ds Baturejo,-6.931,110.911
SD NEGERI BATUREJO 02,20317065,SD,NEGERI,B,Sukolilo,"Dk. Ronggo, Rt. 01 Rw. 1",-6.9191,110.9108
SD NEGERI BATUREJO 03,20317064,SD,NEGERI,A,Sukolilo,Baturejo,-6.9186,110.9159
SD NEGERI CENGKALSEWU 01,20317027,SD,NEGERI,A,Sukolilo,Ds Cengkalsewu,-6.9094,110.9631
SD NEGERI GADUDERO,20317116,SD,NEGERI,B,Sukolilo,Gadudero,-6.9254,110.9369
SD NEGERI GALIRAN,20317112,SD,NEGERI,A,Sukolilo,Galiran Rt 02 Rw 09,-6.9126,110.8555
SD NEGERI GELUR,20317109,SD,NEGERI,B,Sukolilo,Dukuh Gelur,-6.956,110.9714
SD NEGERI GODONGAN,20317104,SD,NEGERI,B,Sukolilo,DUSUN GODONGAN,-6.9219,110.8532
SD NEGERI JONGSO,20317068,SD,NEGERI,B,Sukolilo,Jongso,-6.8731,110.8891
SD NEGERI KASIYAN,20316278,SD,NEGERI,A,Sukolilo,Kasiyan,-6.9073,110.9491
SD NEGERI KEDUMULYO 01,20316276,SD,NEGERI,B,Sukolilo,Kedumulyo Rt 01 Rw 02,-6.9183,110.9483
SD NEGERI KEDUMULYO 02,20316275,SD,NEGERI,B,Sukolilo,Kedumulyo,-6.9251,110.9578
SD NEGERI KEDUNGWINONG 01,20316269,SD,NEGERI,A,Sukolilo,Jln. Sunan Prawoto km.2,-6.9382,110.9033
SD NEGERI KUWAWUR 01,20316383,SD,NEGERI,A,Sukolilo,Ds Kuwawur,-6.9628,110.8784
SD NEGERI KUWAWUR 02,20316382,SD,NEGERI,A,Sukolilo,Ds. Kuwawur,-6.9529,110.8812
SD NEGERI PAKEM 01,20316152,SD,NEGERI,A,Sukolilo,Ds Pakem Rt 06 Rw 04,-6.9813,110.8575
SD NEGERI PAKEM 02,20316133,SD,NEGERI,A,Sukolilo,Dk. Ngrombo,-6.9105,110.8518
SD NEGERI PLOSOKEREP,20316215,SD,NEGERI,B,Sukolilo,Dk. Plosokerep,-6.9892,110.8222
SD NEGERI PONCOMULYO,20316206,SD,NEGERI,A,Sukolilo,Dukuh Poncomulyo Desa Gadudero,-6.95,110.9252
SD NEGERI PORANG PARING,20331992,SD,NEGERI,A,Sukolilo,Dk. Randukuning,-6.9649,110.9003
SD NEGERI PRAWOTO 02,20316241,SD,NEGERI,A,Sukolilo,Dk Sewunegaran,-6.962,110.828
SD NEGERI PRAWOTO 03,20316240,SD,NEGERI,B,Sukolilo,Dk. Karang Tandan Rt.09 Rw.04,-6.9649,110.824
SD NEGERI SALANGAMER,20316171,SD,NEGERI,B,Sukolilo,Dsn.Salangamer RT.07/RW.06,-6.9664,110.8497
SD NEGERI SUKOLILO 01,20340705,SD,NEGERI,A,Sukolilo,Jl. Raya Pati - Puwodadi Km. 26 Sukolilo Kab. Pati 59172,-6.9307,110.9179
SD NEGERI SUKOLILO 02,20316571,SD,NEGERI,A,Sukolilo,Ds Sukolilo,-6.9421,110.924
SD NEGERI SUKOLILO 03,20340613,SD,NEGERI,A,Sukolilo,Jl. Sukolilo - Prawoto Km 1,-6.9394,110.9125
SD NEGERI SUKOLILO 04,20316570,SD,NEGERI,A,Sukolilo,Jl Sumber Gemblung,-6.9499,110.9192
SD NEGERI SUMBERSOKO 01,20316556,SD,NEGERI,A,Sukolilo,"Dk. Doplang, RT 05 RW 01",-6.9566,110.9307
SD NEGERI SUMBERSOKO 02,20340707,SD,NEGERI,B,Sukolilo,Ds Sumbersoko,-6.972,110.938
SD NEGERI TOMPEGUNUNG,20316634,SD,NEGERI,A,Sukolilo,Tompegunung,-6.936,110.9546
SD NEGERI WEGIL,20316434,SD,NEGERI,A,Sukolilo,Jalan Sunan Prawoto Km. 07,-6.9519,110.8554
SD NEGERI WOTAN 01,20316443,SD,NEGERI,B,Sukolilo,Wotan Rt 04 Rw 01,-6.923,110.9091
SD NEGERI WOTAN 02,20316461,SD,NEGERI,A,Sukolilo,Ds Wotan,-6.9161,110.9055
SD NEGERI WOTAN 04,20316460,SD,NEGERI,B,Sukolilo,Wotan,-6.8872,110.8856
SMP ISLAM SULTAN AGUNG SUKOLILO,20338951,SMP,SWASTA,A,Sukolilo,Jl. Pati Purwodadi Km 27 Sukolilo,-6.9302,110.9135
SMP MUHAMMADIYAH 3 SUKOLILO,20338956,SMP,SWASTA,B,Sukolilo,Jl. K.H. Ahmad Dahlan No.5,-6.9461,110.9169
SMP NEGERI 1 SUKOLILO,20338976,SMP,NEGERI,A,Sukolilo,Jl. Sunan Prawoto No.933,-6.9388,110.9065
SMP NEGERI 2 SUKOLILO,20338990,SMP,NEGERI,A,Sukolilo,Jalan Sunan Prawoto Km. 06,-6.9468,110.8661
SMP PGRI 15 SUKOLILO,20338966,SMP,SWASTA,A,Sukolilo,Jl. Sunan Prawoto No.9 Kec. Sukolilo-Pati,-6.8944,110.8972
SMP SATU ATAP NEGERI 1 KUWAWUR,20362594,SMP,NEGERI,C,Sukolilo,Desa Kuwawur,-6.9621,110.8814
SMP SATU ATAP NEGERI 1 PONCOMULYO,20362048,SMP,NEGERI,B,Sukolilo,Dukuh Poncomulyo Desa Gadudero,-6.8687,110.9282
SMP SATU ATAP NEGERI 1 SUMBERSOKO,20362593,SMP,NEGERI,B,Sukolilo,Desa Sumbersoko,-6.9719,110.9376
MI AL- FALAH,60712204,SD,SWASTA,A,Kayen,Jl. Masjid Al Falah Gang Arjuna No. 5  Desa Talun 59171,-6.8624,110.986
MI KHOIRIYAH,60712202,SD,SWASTA,A,Kayen,CARIKAN,-6.8978,110.9906
MI MAMBAUL ULUM,60712197,SD,SWASTA,A,Kayen,KAYEN,-6.8979,110.9782
MI MIFTAHUL HUDA,60712207,SD,SWASTA,A,Kayen,JL. K.H Mataram 01 RT 07 RW 02 Jatiroto,-6.8913,111.0102
